V1,V2,V3,V4,V5,rid,age,gender,hhi,ethnicity,hispanic,education,political_party,region,zip,name1,name2,name4,name6,name3,name5,family1,family2,family3,family4,family5,family6,age1,age2,age3,age4,age5,age6,experience1,experience2,experience3,experience4,experience5,experience6,margin,consent,Q75,inputstate,votereg,year_born,pid3,dem_strength,rep_strength,ind_lean,ideo5,marstat,presvote16_post,intent,presvote2020,presvote2020_voted,presvote_2020lean,religpew,pew_bornagain,employ,newsint,urbancity,class,women_lgbtq_4,women_lgbtq_5,women_lgbtq_6,women_lgbtq_7,women_lgbtq_9,Q36_1,Q36_2,Q36_3,Q36_4,acknowledgment,socialism,fave_grid_1,fave_grid_2,fave_grid_3,fave_grid_5,fave_grid_6,fave_grid_7,fave_grid_10,mip_open,G2.Q2_1,G2.Q2_2,G2.Q2_3,G2.Q2_4,G2.Q2_5,G2.Q2_6,G2.Q2_7,G2.Q2_8,G2.Q2_9,G2.Q3_1_Group,G2.Q3_1_Rank,G2.Q3_2_Group,G2.Q3_2_Rank,G2.Q3_3_Group,G2.Q3_3_Rank,G2.Q3_4_Group,G2.Q3_4_Rank,G2.Q3_5_Group,G2.Q3_5_Rank,G2.Q3_6_Group,G2.Q3_6_Rank,G2.Q3_7_Group,G2.Q3_7_Rank,G2.Q3_8_Group,G2.Q3_8_Rank,work_status_1,work_status_2,work_status_3,work_status_4,work_status_5,work_status_6,work_status_7,work_status_8,work_status_9,work_status_9_TEXT,financial_impact,attribution_1,attribution_2,attribution_3,attribution_4,attribution_5,attribution_6,attribution_7,attribution_8,attribution_8_TEXT,Q28,trumplose,bidenlose,Q75_1,Q75_2,Q75_3,Q75_4,whytrump,whybiden,represents_1,represents_2,represents_3,represents_4,favorsDem,favorsRep,mostimpt,m4a_control,m4a_econ,m4a_soc,covid_control,covid_econ,covid_soc,gnd_control,gnd_labeled,gnd_unlabeled,Q1,Q162,cong1,cj4,Q48_1,Q48_2,Q48_3,Q48_4,cong2,cj5,Q49_1,Q49_2,Q49_3,Q49_4,cong3,cj6,Q50_1,Q50_2,Q50_3,Q50_4,DO_BR_FL_141,DO_BR_FL_6,DO_BR_FL_7,DO_BR_FL_8,DO_BR_FL_9,DO_BR_FL_10,DO_BR_FL_11,DO_BR_FL_12,DO_BR_FL_13,DO_BR_FL_14,DO_BR_FL_15,DO_BR_FL_16,DO_BR_FL_17,DO_BL_group2_lucas_ryan,DO_BL_M4AExperiment,DO_BL_COVIDExperiment,DO_BL_gnd_experiment,DO_Q_acknowledgment,DO_Q_socialism,DO_Q_fave_grid,DO_Q_presvote2020,DO_Q_presvote2020_voted,DO_Q_G2.Q3,DO_Q_women_lgbtq,DO_Q_presvote_2020lean,DO_Q_mostimpt,DO_Q_G2.Q2,DO_Q_presvote16_post,DO_Q_attribution,age_asked,agediff,duration,race4,agecat,educ,pid7,educ4,weduc,geduc,gregion,grace,agerace,prez16,nationalweight,income_new,vote_history,interest,registration,race,partisan_strength,year,Voted,lvweight
R_3FJWePY8OGaJ2ZP,NA,10/25/20 9:49,10/25/20 9:55,1,5f959e55-d653-aca0-6b9a-e2797b128e76,24,2,1,2,1,5,2,3,30315,Barbara,Elizabeth,Janet,Hannah,Linda,Robert,Wife and three children,Husband and three children,Husband and three children,Wife and one child,Wife and two children,Wife and one child,45,49,70,50,63,65,23,18,11,18,24,16,4,1,1,11,1,1996,1,2,NA,NA,3,5,7,2,1,NA,NA,11,1,8,2,2,4,3,1,1,4,4,0.584,30.508,32.778,12,1,4,4,4,4,2,5,1,2,Global warming,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,3,1,1,1,2,0,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,2,0.742,17.396,18.397,8,NA,NA,2,1,1,2,2,1,1,NA,1,NA,1,NA,NA,4,NA,NA,3,1,1,2,1.043,16.535,17.101,11,1,1,0.496,8.797,9.475,8,1,1,0.549,7.781,8.398,8,fave|socialism,FL_136,FL_129,FL_119,FL_112,FL_105,FL_92,FL_89,FL_80,FL_72,FL_61,FL_55,FL_45,mip_open|G2.Q3,m4a_econ,covid_control,gnd_control,1|2|3|4|5|6,1|2|4|5|3,5|2|6|1|10|3|7,1|2|3|4|8,1|2|3|4,5|8|6|2|1|3|7|4,6|4|9|5|7,1|2|9|8,1|2|3|4|5|6|7|8,1|2|3|4|5|6|7|8|9,2|1|3|4|5|6|7,1|6|3|4|2|7|5|8,24,1,5.75,2,1,5,2,3,7,7,NA,6,2,4,0.458832206,1,0,2,1,2,2,2020,0.11,0.050471543
R_ZC4H4YFXeKlNHfr,NA,10/25/20 9:49,10/25/20 9:55,1,5f959e5b-94ce-faa8-4d02-033ea138e55e,30,2,1,1,1,5,4,1,14228,Michael,William,Matthew,William,Mary,Barbara,Husband and no children,Husband and three children,Husband and three children,Wife and three children,Wife and three children,Wife and no children,53,55,45,59,61,54,18,25,17,24,23,15,6,1,1,33,1,1990,3,NA,NA,3,3,2,7,2,3,NA,NA,12,2,7,3,2,3,1,1,1,6,4,4.171,18.343,19.008,7,6,3,3,2,1,3,3,3,2,Health,3,3,3,3,3,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,NA,1,NA,NA,NA,1,4,NA,NA,4,1,1,2,2.942,13.253,13.8,5,1,2,1.479,11.98,12.481,5,1,1,1.772,8.048,8.435,5,fave|socialism,FL_133,FL_122,FL_117,FL_106,FL_102,FL_96,FL_82,FL_80,FL_72,FL_65,FL_57,FL_43,mip_open|G2.Q2,m4a_econ,covid_soc,gnd_control,1|2|3|4|5|6,1|2|4|5|3,2|6|1|5|10|3|7,1|2|3|4|8,2|1|3|4,1|2|3|4|5|6|7|8,6|7|9|4|5,1|2|9|8,1|2|3|4|5|6|7|8,5|6|7|8|9|1|4|2|3,1|2|3|4|5|6|7,1|6|5|7|2|3|4|8,30,0,6.28,1,2,5,4,3,3,5,NA,5,1,4,0.406421522,1,0,3,1,1,4,2020,0.08,0.032513722
R_1kOpamjeluM8MDo,NA,10/25/20 9:44,10/25/20 9:55,1,5f959d06-8a51-1b03-e530-a091cfe6127d,43,2,2,1,1,2,9,3,37801,Linda,Janet,Janet,Matthew,Barbara,Barbara,Wife and two children,Husband and three children,Wife and two children,Wife and no children,Husband and two children,Wife and two children,65,64,51,52,60,54,20,17,10,24,20,10,12,1,1,44,1,1977,2,NA,2,NA,3,1,2,2,2,NA,NA,1,2,6,3,3,5,3,1,3,4,4,2.123,66.477,67.765,15,3,3,3,2,4,3,3,3,2,Virus an racist,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0.892,11.59,13.378,5,Not sure,NA,2,2,2,2,1,2,2,NA,NA,2,NA,1,NA,NA,3,NA,5,1,1,1,0.881,22.708,23.549,16,1,2,1.588,11.458,12.1,12,1,1,4.124,8.992,9.765,8,socialism|fave,FL_137,FL_127,FL_119,FL_109,FL_104,FL_96,FL_87,FL_80,FL_71,FL_59,FL_54,FL_47,mip_open|G2.Q2,m4a_soc,covid_econ,gnd_labeled,6|5|4|3|2|1,5|4|2|1|3,3|2|5|6|10|1|7,2|1|3|4|8,1|2|3|4,1|2|3|4|5|6|7|8,5|7|9|4|6,1|2|9|8,8|7|6|5|4|3|2|1,7|6|4|5|8|1|3|2|9,1|2|3|4|5|6|7,1|7|2|3|4|5|6|8,43,0,11.57,1,3,2,6,1,1,7,NA,5,3,2,0.912592992,1,1,3,1,1,2,2020,0.214,0.1952949
R_1MVO1TyCId19IrU,NA,10/25/20 9:47,10/25/20 9:55,1,5f959df8-8ace-771d-efb1-2941b96f0415,35,1,12,5,1,6,4,4,91754,James,Benjamin,George,Janet,Linda,Mary,Wife and two children,Wife and no children,Husband and no children,Wife and two children,Wife and two children,Husband and two children,61,67,56,69,68,70,25,18,20,10,17,19,14,1,1,5,1,1985,3,NA,NA,3,3,1,2,1,8,NA,8,7,2,1,1,1,3,5,2,5,6,4,0.652,38.128,39.363,10,1,4,4,2,2,4,2,2,2,Covid19,2,1,3,1,3,1,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,2,1,2,NA,1,NA,NA,NA,1,3,NA,NA,2,1,1,1,4.621,12.65,13.338,7,1,2,11.792,14.415,15.287,5,1,1,7.897,17.535,18.264,6,fave|socialism,FL_130,FL_123,FL_116,FL_111,FL_105,FL_94,FL_87,FL_75,FL_66,FL_63,FL_55,FL_46,mip_open|G2.Q2,m4a_econ,covid_soc,gnd_control,6|5|4|3|2|1,5|4|2|1|3,1|6|7|3|10|5|2,2|1|3|4|8,1|2|3|4,1|2|3|4|5|6|7|8,7|5|9|4|6,1|2|8|9,8|7|6|5|4|3|2|1,3|1|9|7|4|8|2|6|5,1|2|3|4|5|6|7,1|3|6|4|5|2|7|8,35,0,7.92,4,2,6,4,4,8,4,NA,4,2,2,0.534694642,2,1,1,1,4,4,2020,0.318,0.170032896
R_1jjJC9IQhFaj3Hl,NA,10/25/20 9:46,10/25/20 9:55,1,5f959d9f-f46c-602c-481a-a109026085f8,61,2,3,1,1,2,10,2,64086,Robert,Emma,Emma,Elizabeth,Jennifer,Mary,Husband and one child,Husband and no children,Wife and no children,Husband and three children,Wife and no children,Wife and one child,63,48,52,52,63,47,14,18,12,10,22,22,9,1,1,26,1,1959,2,NA,1,NA,5,6,2,1,2,NA,NA,1,2,5,1,2,4,4,2,3,3,4,2.145,48.861,49.963,16,5,1,1,1,5,5,5,3,2,Democrats are destroying this,2,2,2,2,2,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,I retired,4,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,2.398,31.172,31.737,6,Don't trust the democrats,NA,2,2,2,2,3,3,2,2,NA,NA,NA,1,NA,NA,NA,2,1,1,1,2,3.647,44.584,45.57,18,1,1,3.25,25.068,26.086,9,1,2,1.572,14.604,15.25,9,socialism|fave,FL_132,FL_126,FL_118,FL_113,FL_103,FL_94,FL_84,FL_74,FL_67,FL_64,FL_51,FL_45,mip_open|G2.Q2,m4a_control,covid_econ,gnd_unlabeled,6|5|4|3|2|1,5|4|2|1|3,3|6|1|5|10|7|2,1|2|3|4|8,2|1|3|4,1|2|3|4|5|6|7|8,6|4|9|7|5,1|2|9|8,8|7|6|5|4|3|2|1,4|6|3|2|9|7|5|8|1,2|1|3|4|5|6|7,1|2|5|4|6|7|3|8,61,0,9.9,1,5,2,7,1,1,6,NA,5,5,2,0.985197146,1,1,1,1,1,1,2020,1,0.985197146
R_NVGn4W0Vrs1AfqV,NA,10/25/20 9:49,10/25/20 9:56,1,5f959e2e-cf02-2265-7f54-40515967ad4c,42,2,11,1,1,5,10,3,75755,Robert,Emma,Hannah,Janet,Linda,Linda,Husband and one child,Wife and three children,Wife and three children,Wife and no children,Wife and two children,Husband and three children,63,69,57,63,55,64,10,22,25,12,11,17,7,1,1,45,1,1978,2,NA,1,NA,4,1,2,1,2,NA,NA,11,1,4,1,3,4,4,1,4,5,4,0.877,18.357,19.418,12,6,1,3,1,1,3,5,3,2,Our econocominc infrasreucture,2,2,2,3,2,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,0.973,11.236,11.845,4,NA,NA,2,2,2,2,1,3,7,NA,2,NA,NA,1,NA,NA,1,NA,1,1,1,2,8.023,27.524,27.934,11,1,1,1.22,19.447,19.935,13,1,2,2.571,8.102,8.889,6,socialism|fave,FL_132,FL_126,FL_120,FL_111,FL_105,FL_97,FL_84,FL_81,FL_73,FL_59,FL_55,FL_48,mip_open|G2.Q2,m4a_econ,covid_econ,gnd_labeled,1|2|3|4|5|6,5|4|2|1|3,3|5|7|6|10|2|1,2|1|3|4|8,1|2|3|4,1|2|3|4|5|6|7|8,7|5|9|4|6,1|2|9|8,8|7|6|5|4|3|2|1,1|2|4|5|9|3|8|7|6,2|1|3|4|5|6|7,1|3|4|2|7|6|5|8,42,0,6.9,1,3,5,7,3,3,7,NA,5,3,2,0.509413998,2,1,1,1,1,1,2020,1,0.509413998
R_2VQkmHI8lOQZcrB,NA,10/25/20 9:48,10/25/20 9:57,1,5f959e3c-7560-95d4-a809-52c0e923aadd,63,2,14,1,1,6,2,1,12528,Linda,George,William,Benjamin,Michael,John,Wife and no children,Husband and no children,Wife and no children,Husband and two children,Wife and one child,Wife and no children,47,53,50,54,61,61,19,17,23,10,21,13,13,1,1,33,1,1957,1,2,NA,NA,3,4,1,1,1,NA,NA,11,2,5,1,3,3,1,1,2,6,4,3.37,26.85,28.196,9,1,1,2,4,1,1,1,3,2,The federal gvt is too partisa,2,1,1,1,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1.666,11.147,11.967,3,NA,NA,1,1,1,2,2,1,5,NA,NA,2,NA,NA,1,NA,4,NA,4,1,1,1,2.934,31.698,32.929,14,1,2,1.154,14.137,15.304,5,1,1,1.07,13.4,14.167,5,fave|socialism,FL_137,FL_124,FL_114,FL_107,FL_101,FL_91,FL_83,FL_74,FL_67,FL_62,FL_53,FL_43,mip_open|G2.Q2,m4a_soc,covid_soc,gnd_labeled,1|2|3|4|5|6,5|4|2|1|3,1|5|2|7|10|3|6,2|1|3|4|8,2|1|3|4,1|2|3|4|5|6|7|8,7|4|9|6|5,1|2|9|8,8|7|6|5|4|3|2|1,1|9|8|7|2|3|6|5|4,1|2|3|4|5|6|7,1|7|2|3|4|5|6|8,63,0,8.53,1,5,6,2,4,4,5,NA,5,5,1,0.542418159,2,1,1,1,1,2,2020,1,0.542418159
R_2tDnZV10S41bnc1,NA,10/25/20 9:42,10/25/20 9:57,1,5f959ce1-8a1e-2997-2d29-9ced601d5050,33,2,3,1,1,2,9,3,33917,Linda,George,William,Matthew,Barbara,Barbara,Wife and no children,Husband and two children,Husband and three children,Wife and one child,Wife and three children,Wife and two children,67,46,62,59,68,54,10,18,23,23,15,19,4,1,1,10,1,1987,2,NA,1,NA,3,1,2,1,2,NA,NA,12,2,6,2,2,5,2,1,2,5,4,7.73,51.828,53.092,10,6,1,1,1,5,5,1,3,2,Economic security,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,0,1,0,2,1,3,0,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,1,NA,NA,NA,1,1,NA,14.385,27.189,31.495,2,"Inaccurate count of votes,fraudulent applications",NA,2,2,2,1,1,3,2,NA,1,NA,1,NA,NA,1,NA,NA,1,1,1,2,8.707,30.721,31.301,13,1,2,6.659,15.292,16.201,6,1,2,3.378,90.592,91.294,11,fave|socialism,FL_137,FL_124,FL_114,FL_109,FL_104,FL_96,FL_83,FL_78,FL_72,FL_61,FL_57,FL_47,mip_open|G2.Q3,m4a_econ,covid_control,gnd_control,6|5|4|3|2|1,5|4|2|1|3,2|1|6|7|10|3|5,2|1|3|4|8,1|2|3|4,3|1|4|5|2|7|6|8,5|7|9|4|6,1|2|9|8,8|7|6|5|4|3|2|1,1|2|3|4|5|6|7|8|9,2|1|3|4|5|6|7,1|7|2|6|3|4|5|8,33,0,14.55,1,2,2,7,1,1,7,NA,5,1,2,0.815072274,1,1,2,1,1,1,2020,0.966,0.787359817
R_3PAGaRqcHTdNK78,NA,10/25/20 9:50,10/25/20 9:57,1,5f959e92-5445-9a37-e713-606bff394770,35,2,2,1,1,2,1,1,12603,Mary,Janet,Elizabeth,Matthew,John,Jennifer,Wife and no children,Husband and one child,Husband and one child,Husband and three children,Husband and two children,Husband and two children,49,70,51,46,67,54,20,15,17,12,18,13,6,1,1,33,1,1985,1,1,NA,NA,1,5,1,1,1,NA,NA,12,2,2,1,1,4,1,1,1,6,4,7.877,25.556,26.693,11,1,5,5,5,1,1,1,3,2,Racism,1,1,1,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,9.325,10.912,11.795,3,NA,"Because the electoral college is antiquated. The popular vote should win, its showing what the American people want",1,1,1,2,3,1,4,NA,NA,1,1,NA,NA,NA,5,NA,5,1,1,1,11.117,23.224,23.963,8,1,1,14.565,16.368,17.16,3,1,1,4.158,11.728,12.466,6,socialism|fave,FL_134,FL_127,FL_121,FL_109,FL_99,FL_95,FL_83,FL_76,FL_68,FL_64,FL_54,FL_46,mip_open|G2.Q2,m4a_soc,covid_control,gnd_labeled,1|2|3|4|5|6,5|4|2|1|3,7|2|5|1|10|3|6,2|1|3|4|8,2|1|3|4,1|2|3|4|5|6|7|8,7|4|9|5|6,1|2|9|8,8|7|6|5|4|3|2|1,7|1|9|6|3|4|5|2|8,1|2|3|4|5|6|7,1|2|7|6|5|3|4|8,35,0,6.83,1,2,2,1,1,1,5,NA,5,1,1,0.852898777,1,1,1,1,1,1,2020,0.97,0.827311813
R_3jdqMJjJdwRifVo,NA,10/25/20 9:49,10/25/20 9:57,1,5f959e49-6fdb-1b2c-a80a-8515565c7019,41,2,22,1,1,5,10,3,22033,James,Elizabeth,Elizabeth,George,James,Robert,Wife and one child,Wife and one child,Wife and one child,Husband and one child,Wife and no children,Husband and no children,60,65,68,70,64,50,14,20,15,24,19,17,2,1,1,48,1,1979,2,NA,1,NA,5,1,2,1,2,NA,NA,1,2,1,1,2,2,4,1,4,6,4,0.883,26.251,27.741,12,5,1,1,1,5,4,1,2,2,The economy,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0,1,1,3,1,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0.977,23.875,25.566,4,Because the electoral college is the guidepost to go off of.,NA,2,2,2,1,1,3,6,NA,2,NA,NA,NA,2,NA,NA,1,1,1,1,1,1.828,22.349,22.618,13,1,1,0.911,8.766,9.351,7,1,2,1.012,9.473,10.046,7,fave|socialism,FL_130,FL_129,FL_121,FL_108,FL_98,FL_92,FL_85,FL_77,FL_69,FL_60,FL_51,FL_42,mip_open|G2.Q3,m4a_econ,covid_soc,gnd_unlabeled,1|2|3|4|5|6,1|2|4|5|3,3|6|2|7|10|1|5,1|2|3|4|8,2|1|3|4,4|3|1|6|5|8|7|2,5|4|9|6|7,1|2|9|8,1|2|3|4|5|6|7|8,1|2|3|4|5|6|7|8|9,2|1|3|4|5|6|7,1|7|2|3|4|5|6|8,41,1,7.72,1,3,5,7,3,3,7,NA,5,3,2,0.509413998,3,1,1,1,1,1,2020,1,0.509413998
R_yPAveu3ineGm2D7,NA,10/25/20 9:52,10/25/20 9:57,1,5f959f2c-06e4-b7f9-55bf-7b8c36a2339b,30,1,5,2,1,5,2,3,29209,Robert,Benjamin,William,Hannah,John,John,Wife and three children,Wife and one child,Wife and two children,Husband and three children,Husband and no children,Husband and one child,69,66,65,69,51,51,24,19,17,12,19,18,1,1,1,42,1,1990,1,1,NA,NA,2,5,1,1,1,NA,NA,1,1,1,1,1,3,5,2,3,6,4,0.727,25.724,26.793,11,3,4,5,5,1,1,1,3,2,Economy,1,1,2,2,1,2,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,0.601,3.269,3.984,2,NA,NA,1,2,2,1,1,2,3,NA,NA,1,1,NA,NA,NA,NA,2,3,1,1,2,1.599,4.25,5.102,7,1,2,0.663,16.361,17.225,12,1,2,0.865,4.453,5.193,3,fave|socialism,FL_132,FL_123,FL_114,FL_112,FL_99,FL_91,FL_89,FL_77,FL_71,FL_64,FL_50,FL_44,mip_open|G2.Q2,m4a_soc,covid_control,gnd_unlabeled,6|5|4|3|2|1,1|2|4|5|3,1|2|3|7|10|6|5,1|2|3|4|8,1|2|3|4,1|2|3|4|5|6|7|8,5|4|9|6|7,1|2|9|8,1|2|3|4|5|6|7|8,1|5|4|3|6|2|7|9|8,1|2|3|4|5|6|7,1|7|2|3|4|5|6|8,30,0,5,2,2,5,1,3,7,3,NA,2,2,1,0.670089067,1,1,1,1,2,1,2020,0.698,0.467722169
R_2Vmx2KRzY7QCCUJ,NA,10/25/20 9:43,10/25/20 9:57,1,5f959cf1-436e-abc3-4634-85c2b0bbe558,44,1,1,1,1,1,1,3,75966,Mary,William,Matthew,William,John,Linda,Husband and two children,Wife and three children,Husband and no children,Husband and one child,Wife and no children,Husband and one child,69,64,47,48,63,46,25,23,14,23,11,12,5,1,1,45,1,1976,1,1,NA,NA,2,5,1,3,NA,1,NA,1,2,6,1,3,5,1,1,1,6,4,6.246,58.54,60.101,11,6,3,5,5,1,1,3,3,2,Covid and unemployment,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,3,0,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,7.247,24.241,28.723,3,NA,Because the us cant handle 4 more years of trump,1,1,1,2,3,1,8,NA,1,NA,NA,NA,1,NA,NA,4,5,1,1,1,13.418,40.147,41.168,16,1,1,8.809,33.955,34.944,11,1,2,3.641,18.175,24.83,6,socialism|fave,FL_134,FL_122,FL_117,FL_106,FL_99,FL_97,FL_86,FL_81,FL_66,FL_60,FL_51,FL_44,mip_open|G2.Q3,m4a_econ,covid_soc,gnd_unlabeled,1|2|3|4|5|6,5|4|2|1|3,1|2|7|5|10|6|3,1|2|3|4|8,2|1|3|4,5|7|6|3|4|1|8|2,6|7|9|5|4,1|2|9|8,8|7|6|5|4|3|2|1,1|2|3|4|5|6|7|8|9,2|1|3|4|5|6|7,1|2|5|3|7|4|6|8,44,0,13.85,1,3,1,1,1,1,3,NA,1,3,1,1.433765014,1,1,1,1,1,1,2020,0.93,1.333401463
R_2rJ9n3tzMJUE4Q4,NA,10/25/20 9:49,10/25/20 9:58,1,5f959e41-726a-1010-1e7e-5929cdf22db8,48,2,3,2,1,5,1,3,75215,Linda,Janet,William,Benjamin,James,John,Husband and two children,Wife and two children,Wife and two children,Husband and three children,Husband and one child,Husband and two children,53,52,48,49,55,45,15,13,25,19,17,13,2,1,1,45,1,1972,1,1,NA,NA,3,4,1,1,1,NA,NA,11,1,7,1,1,5,4,1,1,3,4,6.673,39.946,41.317,13,1,3,3,5,1,1,1,3,2,Education health care,1,1,1,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,17.155,26.859,27.6,3,NA,They think the vote will be fixed by donald trump,1,1,1,2,3,1,3,NA,1,NA,NA,1,NA,NA,1,NA,2,1,1,1,10.283,35.4,36.763,10,1,1,3.239,12.53,13.088,7,1,1,1.508,14.018,14.581,7,socialism|fave,FL_137,FL_127,FL_114,FL_107,FL_98,FL_91,FL_86,FL_79,FL_71,FL_64,FL_52,FL_46,mip_open|G2.Q2,m4a_econ,covid_econ,gnd_labeled,6|5|4|3|2|1,5|4|2|1|3,2|7|1|5|10|3|6,1|2|3|4|8,1|2|3|4,1|2|3|4|5|6|7|8,6|4|9|5|7,1|2|9|8,8|7|6|5|4|3|2|1,4|5|3|6|7|8|1|9|2,2|1|3|4|5|6|7,1|7|3|4|5|2|6|8,48,1,9.15,2,3,5,1,3,7,7,NA,6,4,1,0.593128559,1,1,1,1,2,1,2020,0.958,0.568217159
R_2Uaa8bTtZdxnn93,NA,10/25/20 9:49,10/25/20 9:58,1,5f959e41-9929-c3a0-b3e8-92f6391b5482,29,2,1,1,1,5,2,3,72401,Barbara,Benjamin,Benjamin,Elizabeth,Jennifer,Jennifer,Wife and two children,Husband and no children,Wife and no children,Husband and no children,Husband and three children,Wife and one child,66,46,63,63,52,60,13,24,18,17,19,11,7,1,1,4,1,1991,1,2,NA,NA,4,1,7,1,1,NA,NA,6,2,4,2,1,5,3,1,3,5,4,1.768,24.369,25,15,1,5,3,5,1,3,3,3,2,Economic crisis,1,1,1,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,15.504,16.293,16.974,2,NA,Because I believe that Joe biden is the true good choice for presidency,1,1,1,2,3,1,2,1,NA,NA,1,NA,NA,NA,NA,3,1,1,1,2,1.46,24.927,25.401,15,1,1,11.711,18.799,19.629,5,1,1,1.443,11.125,12.029,8,fave|socialism,FL_136,FL_123,FL_115,FL_113,FL_103,FL_95,FL_87,FL_74,FL_67,FL_58,FL_56,FL_45,mip_open|G2.Q2,m4a_control,covid_control,gnd_unlabeled,1|2|3|4|5|6,1|2|4|5|3,1|5|2|7|10|3|6,2|1|3|4|8,1|2|3|4,1|2|3|4|5|6|7|8,4|6|9|7|5,1|2|9|8,1|2|3|4|5|6|7|8,9|2|1|3|4|8|5|6|7,1|2|3|4|5|6|7,1|7|2|4|3|5|6|8,29,0,8.92,1,1,5,2,3,3,7,NA,5,1,4,0.489454219,1,0,2,1,1,2,2020,0.962,0.470854959
